Iteracion;Tipo;Tiempo (s)
492;GET;0,1274
492;POST;1,598
493;GET;0,1402
493;POST;1,6251
494;GET;0,1255
494;POST;1,5641
495;GET;0,1268
495;POST;1,5858
496;GET;0,1291
496;POST;1,5556
497;GET;0,1286
497;POST;1,522
498;GET;0,1281
498;POST;1,5468
499;GET;0,127
499;POST;1,5251
500;GET;0,1584
500;POST;1,5197
501;GET;0,1792
501;POST;1,5368
502;GET;0,1344
502;POST;1,5835
503;GET;0,1402
503;POST;1,5297
504;GET;0,1337
504;POST;1,5629
505;GET;0,1511
505;POST;1,5234
506;GET;0,1241
506;POST;1,536
507;GET;0,121
507;POST;1,5667
508;GET;0,1437
508;POST;1,5828
509;GET;0,132
509;POST;1,5266
510;GET;0,1297
510;POST;1,5945
511;GET;0,1301
511;POST;1,5461
512;GET;0,1245
512;POST;1,5482
513;GET;0,15
513;POST;1,5832
514;GET;0,1242
514;POST;1,5712
515;GET;0,1363
515;POST;1,5835
516;GET;0,1225
516;POST;1,6399
517;GET;0,1271
517;POST;1,5097
518;GET;0,1388
518;POST;1,5644
519;GET;0,1279
519;POST;1,6022
520;GET;0,1334
520;POST;2,3556
521;GET;0,1275
521;POST;1,5471
522;GET;0,1191
522;POST;1,608
523;GET;0,1178
523;POST;1,5923
524;GET;0,1222
524;POST;1,5669
525;GET;0,1217
525;POST;1,5672
526;GET;0,1306
526;POST;1,5944
527;GET;0,1212
527;POST;1,5215
528;GET;0,1217
528;POST;1,5112
529;GET;0,1308
529;POST;1,5676
530;GET;0,1391
530;POST;1,5683
531;GET;0,1314
531;POST;1,5679
532;GET;0,1222
532;POST;1,5819
533;GET;0,1319
533;POST;1,5579
534;GET;0,1335
534;POST;1,5367
535;GET;0,1255
535;POST;1,5226
536;GET;0,1462
536;POST;1,5476
537;GET;0,1227
537;POST;1,5413
538;GET;0,1265
538;POST;1,5459
539;GET;0,1202
539;POST;1,5709
540;GET;0,1285
540;POST;1,5551
541;GET;0,1221
541;POST;1,6254
542;GET;0,1249
542;POST;1,5777
543;GET;0,1278
543;POST;1,4928
544;GET;0,1261
544;POST;1,563
545;GET;0,1177
545;POST;1,5492
546;GET;0,1322
546;POST;1,5626
547;GET;0,1303
547;POST;1,5457
548;GET;0,1194
548;POST;1,5482
549;GET;0,1191
549;POST;1,5592
550;GET;0,1374
550;POST;1,5371
551;GET;0,123
551;POST;1,5234
552;GET;0,1311
552;POST;1,5238
553;GET;0,1265
553;POST;1,5096
554;GET;0,1272
554;POST;1,6286
555;GET;0,1347
555;POST;1,503
556;GET;0,1219
556;POST;1,6179
557;GET;0,1231
557;POST;1,585
558;GET;0,1179
558;POST;1,5554
559;GET;0,1257
559;POST;1,4803
560;GET;0,1252
560;POST;1,5483
561;GET;0,1242
561;POST;1,5431
562;GET;0,1282
562;POST;1,4587
563;GET;0,1241
563;POST;1,5789
564;GET;0,1227
564;POST;1,5697
565;GET;0,1205
565;POST;1,6183
566;GET;0,1262
566;POST;1,5234
567;GET;0,1293
567;POST;1,5462
568;GET;0,1346
568;POST;1,523
569;GET;0,136
569;POST;1,527
570;GET;0,124
570;POST;1,5744
571;GET;0,129
571;POST;1,5447
572;GET;0,1194
572;POST;1,5529
573;GET;0,1276
573;POST;1,5671
574;GET;0,1287
574;POST;1,4741
575;GET;0,123
575;POST;1,5156
576;GET;0,1217
576;POST;1,556
577;GET;0,1269
577;POST;1,5513
578;GET;0,1171
578;POST;1,5577
579;GET;0,1263
579;POST;1,5882
580;GET;0,1257
580;POST;1,5843
581;GET;0,1262
581;POST;1,5227
582;GET;0,131
582;POST;1,5504
583;GET;0,1238
583;POST;1,5048
584;GET;0,1373
584;POST;1,519
585;GET;0,1421
585;POST;1,6072
586;GET;0,1218
586;POST;1,5434
587;GET;0,125
587;POST;1,5428
588;GET;0,1255
588;POST;1,526
589;GET;0,1209
589;POST;1,5535
590;GET;0,1261
590;POST;1,5994
591;GET;0,1202
591;POST;1,5963
592;GET;0,1283
592;POST;1,5604
593;GET;0,1238
593;POST;1,5665
594;GET;0,1349
594;POST;1,5222
595;GET;0,1284
595;POST;1,5535
596;GET;0,1226
596;POST;1,5661
597;GET;0,1328
597;POST;1,5794
598;GET;0,123
598;POST;1,5278
599;GET;0,1229
599;POST;1,5472
600;GET;0,1189
600;POST;1,5224
601;GET;0,1239
601;POST;1,5903
602;GET;0,1279
602;POST;1,5383
603;GET;0,1247
603;POST;1,5981
604;GET;0,1288
604;POST;1,5539
605;GET;0,1254
605;POST;1,5162
606;GET;0,1315
606;POST;1,5634
607;GET;0,1231
607;POST;1,5624
608;GET;0,1198
608;POST;1,558
609;GET;0,1232
609;POST;1,5426
610;GET;0,1351
610;POST;1,5105
611;GET;0,1186
611;POST;1,5022
612;GET;0,1207
612;POST;1,544
613;GET;0,1239
613;POST;1,5451
614;GET;0,1284
614;POST;1,6023
615;GET;0,1292
615;POST;1,5594
616;GET;0,1164
616;POST;1,5866
617;GET;0,1289
617;POST;1,5076
618;GET;0,1231
618;POST;1,5512
619;GET;0,1318
619;POST;1,5611
620;GET;0,1274
620;POST;1,5351
621;GET;0,1266
621;POST;1,5687
622;GET;0,1316
622;POST;1,5463
623;GET;0,1277
623;POST;1,5639
624;GET;0,1239
624;POST;1,578
625;GET;0,1287
625;POST;1,5415
626;GET;0,1211
626;POST;1,5268
627;GET;0,127
627;POST;1,5549
628;GET;0,1422
628;POST;1,6204
629;GET;0,1229
629;POST;1,5223
630;GET;0,1192
630;POST;1,569
631;GET;0,1215
631;POST;1,5277
632;GET;0,1233
632;POST;1,6004
633;GET;0,1239
633;POST;1,5937
634;GET;0,1203
634;POST;1,5834
635;GET;0,1344
635;POST;1,5403
636;GET;0,1273
636;POST;1,543
637;GET;0,1369
637;POST;1,5009
638;GET;0,1254
638;POST;1,48
639;GET;0,1231
639;POST;1,5411
640;GET;0,1249
640;POST;1,6159
641;GET;0,1183
641;POST;1,5593
642;GET;0,1396
642;POST;1,5496
643;GET;0,1235
643;POST;1,5966
644;GET;0,1227
644;POST;1,5571
645;GET;0,1238
645;POST;1,5203
646;GET;0,1306
646;POST;1,642
647;GET;0,1338
647;POST;1,5755
648;GET;0,129
648;POST;1,5767
649;GET;0,1232
649;POST;1,6099
650;GET;0,1211
650;POST;1,5539
651;GET;0,1332
651;POST;1,4882
652;GET;0,1159
652;POST;1,5606
653;GET;0,1326
653;POST;1,6148
654;GET;0,1258
654;POST;1,5766
655;GET;0,1293
655;POST;1,5293
656;GET;0,1267
656;POST;1,6152
657;GET;0,1373
657;POST;1,5498
658;GET;0,1171
658;POST;1,6056
659;GET;0,1457
659;POST;1,5527
660;GET;0,1198
660;POST;1,5045
661;GET;0,1248
661;POST;1,5559
662;GET;0,1293
662;POST;1,5422
663;GET;0,1284
663;POST;1,5338
664;GET;0,1202
664;POST;1,6025
665;GET;0,1235
665;POST;1,6185
666;GET;0,1426
666;POST;1,5654
667;GET;0,1188
667;POST;1,583
668;GET;0,1233
668;POST;1,5538
669;GET;0,1253
669;POST;1,5617
670;GET;0,1227
670;POST;1,5494
671;GET;0,1275
671;POST;1,5259
672;GET;0,1266
672;POST;1,4912
673;GET;0,1247
673;POST;1,563
674;GET;0,1299
674;POST;1,5954
675;GET;0,118
675;POST;1,5345
676;GET;0,1259
676;POST;1,5509
677;GET;0,1237
677;POST;1,5696
678;GET;0,1269
678;POST;1,5964
679;GET;0,1311
679;POST;1,5684
680;GET;0,1293
680;POST;1,5241
681;GET;0,1318
681;POST;1,5665
682;GET;0,1209
682;POST;1,5604
683;GET;0,1302
683;POST;1,5536
684;GET;0,1181
684;POST;1,5096
685;GET;0,1266
685;POST;1,5092
686;GET;0,1203
686;POST;1,4863
687;GET;0,1226
687;POST;1,5482
