Iteracion;Tipo;Tiempo (s)
363;GET;0,1196
363;POST;1,5825
364;GET;0,1259
364;POST;1,5613
365;GET;0,1219
365;POST;1,5323
366;GET;0,12
366;POST;1,5638
367;GET;0,1251
367;POST;1,5729
368;GET;0,1234
368;POST;1,5576
369;GET;0,1196
369;POST;1,5423
370;GET;0,1269
370;POST;1,5815
371;GET;0,124
371;POST;1,5546
372;GET;0,136
372;POST;1,6455
373;GET;0,1287
373;POST;1,5982
374;GET;0,1304
374;POST;1,5476
375;GET;0,1244
375;POST;1,4776
376;GET;0,1266
376;POST;1,5496
377;GET;0,1233
377;POST;1,5398
378;GET;0,127
378;POST;1,5517
379;GET;0,132
379;POST;1,6359
380;GET;0,122
380;POST;1,5827
381;GET;0,1202
381;POST;1,5759
382;GET;0,1422
382;POST;1,5697
383;GET;0,1228
383;POST;1,5415
384;GET;0,1247
384;POST;1,5571
385;GET;0,1184
385;POST;1,5813
386;GET;0,1298
386;POST;1,5612
387;GET;0,1277
387;POST;1,5717
388;GET;0,1327
388;POST;1,5916
389;GET;0,1338
389;POST;1,5608
390;GET;0,1317
390;POST;1,598
391;GET;0,1362
391;POST;1,5854
392;GET;0,1372
392;POST;1,6188
393;GET;0,1247
393;POST;1,577
394;GET;0,1221
394;POST;1,5848
395;GET;0,1203
395;POST;1,5895
396;GET;0,1291
396;POST;1,5495
397;GET;0,1251
397;POST;1,5439
398;GET;0,135
398;POST;1,592
399;GET;0,133
399;POST;1,6153
400;GET;0,1579
400;POST;1,624
401;GET;0,1322
401;POST;1,5237
402;GET;0,1467
402;POST;1,514
403;GET;0,1225
403;POST;1,5386
404;GET;0,1235
404;POST;1,5103
405;GET;0,1279
405;POST;1,5577
406;GET;0,1445
406;POST;1,6032
407;GET;0,1283
407;POST;1,5428
408;GET;0,1311
408;POST;1,6855
409;GET;0,1225
409;POST;1,5361
410;GET;0,1322
410;POST;1,5757
411;GET;0,1298
411;POST;1,5609
412;GET;0,1382
412;POST;1,6088
413;GET;0,1278
413;POST;1,5279
414;GET;0,1316
414;POST;1,6091
415;GET;0,1228
415;POST;1,5476
416;GET;0,1347
416;POST;1,6513
417;GET;0,1234
417;POST;1,5934
418;GET;0,1283
418;POST;1,5632
419;GET;0,1285
419;POST;1,5479
420;GET;0,1261
420;POST;1,5433
421;GET;0,119
421;POST;1,5453
422;GET;0,126
422;POST;1,5846
423;GET;0,1299
423;POST;1,5679
424;GET;0,126
424;POST;1,5894
425;GET;0,128
425;POST;1,6452
426;GET;0,1399
426;POST;1,5621
427;GET;0,1182
427;POST;1,5153
428;GET;0,1239
428;POST;1,5348
